PLAYER					BULLET				ON_BULLET_HIT_PLAYER
BULLET					WALL				ON_BULLET_HIT_WALL
BULLET					FLOOR				ON_BULLET_HIT_FLOOR
PLAYER_BULLET_LOB		FLOOR				ON_BULLET_HIT_FLOOR
PLAYER_BULLET			ENEMY				ON_PLAYER_BULLET_HIT_ENEMY
PLAYER_BULLET_LOB		ENEMY				ON_PLAYER_BULLET_HIT_ENEMY
PLAYER_BULLET			WALL				ON_BULLET_HIT_WALL
PLAYER_BULLET_LOB		WALL				ON_BULLET_HIT_WALL
PLAYER					SHURIKEN			ON_BULLET_HIT_PLAYER
SHURIKEN				WALL				ON_BULLET_HIT_WALL
PLAYER					FOLLOW_BULLET		ON_BULLET_HIT_PLAYER
PLAYER					HOMING_BULLET		ON_BULLET_HIT_PLAYER
FOLLOW_BULLET			WALL				ON_BULLET_HIT_WALL
HOMING_BULLET			WALL				ON_BULLET_HIT_WALL
PLAYER					SPELL				ON_SPELL_COLLECT
DOOR					BULLET				ON_BULLET_HIT_DOOR
DOOR					PLAYER_BULLET		ON_BULLET_HIT_DOOR
PLAYER_MELEE			ENEMY				ON_PLAYER_BULLET_HIT_ENEMY
PLAYER					ENEMY_AOE_SLOW		ON_ENEMY_AOE_SLOW_HIT_PLAYER
PLAYER					ENEMY_AOE_DAMAGE	ON_ENEMY_AOE_DAMAGE_HIT_PLAYER
PLAYER					PICKUP				ON_PICKUP_COLLECT
PLAYER_AOE				ENEMY				ON_PLAYER_AOE_HIT_ENEMY
PLAYER_SHIELD			BULLET				ON_BULLET_HIT_SHIELD
DESTRUCTIBLE_WALL		BULLET				ON_BULLET_HIT_DESTRUCTIBLE_WALL
ENEMY_AOE               PLAYER              ON_ENEMY_AOE_HIT_PLAYER
ENEMY_BULLET_LOB		FLOOR				ON_BULLET_HIT_FLOOR
ENEMY_BULLET_LOB		PLAYER				ON_BULLET_HIT_PLAYER
ENEMY_BULLET_LOB		WALL				ON_BULLET_HIT_WALL
PLAYER					PORTAL				ON_PLAYER_HIT_PORTAL
